State/UT,S.No,Constituency Name
Maharashtra,2,Dhule
Maharashtra,3,Jalgaon
Maharashtra,4,Raver
Maharashtra,5,Buldhana
Maharashtra,6,Akola
Maharashtra,7,Amravati
Maharashtra,8,Wardha
Maharashtra,9,Ramtek
Maharashtra,10,Nagpur
Maharashtra,11,Bhandara Gondiya
Maharashtra,12,Gadchiroli-Chimur
Maharashtra,13,Chandrapur
Maharashtra,14,Yavatmal-Washim
Maharashtra,15,Hingoli
Maharashtra,16,Nanded
Maharashtra,17,Parbhani
Maharashtra,18,Maval
Maharashtra,19,Pune
Maharashtra,20,Baramati
Maharashtra,21,Shirur
Maharashtra,22,Ahmednagar
Maharashtra,23,Shirdi
Maharashtra,24,Beed
Maharashtra,25,Osmanabad
Maharashtra,26,Latur
Maharashtra,27,Solapur
Maharashtra,28,Madha
Maharashtra,29,Sangli
Maharashtra,30,Satara
Maharashtra,31,Ratnagiri-Sindhudurg
Maharashtra,32,Kolhapur
Maharashtra,33,Hatkanangle
Maharashtra,34,Nashik
Maharashtra,35,Dindori
Maharashtra,36,Palghar
Maharashtra,37,Bhiwandi
Maharashtra,38,Kalyan
Maharashtra,39,Thane
Maharashtra,40,Mumbai North
Maharashtra,41,Mumbai North West
Maharashtra,42,Mumbai North Central
Maharashtra,43,Mumbai North East
Maharashtra,44,Mumbai South Central
Maharashtra,45,Mumbai South
Maharashtra,46,Raigad
Maharashtra,47,Aurangabad
Maharashtra,48,Jalna
Manipur,1,Inner Manipur
Manipur,2,Outer Manipur
Meghalaya,1,Shillong
Meghalaya,2,Tura
Mizoram,1,Mizoram
Nagaland,1,Nagaland
Odisha,1,Bargarh
Odisha,2,Sundargarh
Odisha,3,Sambalpur
Odisha,4,Keonjhar
Odisha,5,Mayurbhanj
Odisha,6,Balasore
Odisha,7,Bhadrak
Odisha,8,Jajpur
Odisha,9,Dhenkanal
Odisha,10,Balangir
Odisha,11,Kalahandi
Odisha,12,Nabarangpur
Odisha,13,Kandhamal
Odisha,14,Cuttack
Odisha,15,Kendrapara
Odisha,16,Jagatsinghpur
Odisha,17,Puri
Odisha,18,Bhubaneswar
Odisha,19,Aska
Odisha,20,Berhampur
Odisha,21,Koraput
Punjab,1,Gurdaspur
Punjab,2,Amritsar
Punjab,3,Khadoor Sahib
Punjab,4,Jalandhar
Punjab,5,Hoshiarpur
Punjab,6,Anandpur Sahib
Punjab,7,Ludhiana
Punjab,8,Fatehgarh Sahib
Punjab,9,Faridabad
Punjab,10,Firozpur
Punjab,11,Bathinda
Punjab,12,Sangrur
Punjab,13,Patiala
Rajasthan,1,Ganganagar
Rajasthan,2,Bikaner
Rajasthan,3,Churu
Rajasthan,4,Jhunjhunu
Rajasthan,5,Sikar
Rajasthan,6,Jaipur Rural
Rajasthan,7,Jaipur
Rajasthan,8,Alwar
Rajasthan,9,Bharatpur
Rajasthan,10,Karauli-Dholpur
Rajasthan,11,Dausa
Rajasthan,12,Tonk-Sawai Madhopur
Rajasthan,13,Ajmer
Rajasthan,14,Nagaur
Rajasthan,15,Pali
Rajasthan,16,Jodhpur
Rajasthan,17,Barmer
Rajasthan,18,Jalore
Rajasthan,19,Udaipur
Rajasthan,20,Banswara
Rajasthan,21,Chittorgarh
Rajasthan,22,Rajsamand
Rajasthan,23,Bhilwara
Rajasthan,24,Kota
Rajasthan,25,Jhalawar-Baran
Sikkim,1,Sikkim
Tamil Nadu,1,Thiruvallur
Tamil Nadu,2,Chennai North
Tamil Nadu,3,Chennai Central
Tamil Nadu,4,Chennai South
Tamil Nadu,5,Sriperumbudur
Tamil Nadu,6,Kancheepuram
Tamil Nadu,7,Arakkonam
Tamil Nadu,8,Vellore
Tamil Nadu,9,Tirupattur
Tamil Nadu,10,Dharmapuri
Tamil Nadu,11,Krishnagiri
Tamil Nadu,12,Tiruvannamalai
Tamil Nadu,13,Arani
Tamil Nadu,14,Viluppuram
Tamil Nadu,15,Kallakurichi
Tamil Nadu,16,Salem
Tamil Nadu,17,Namakkal
Tamil Nadu,18,Erode
Tamil Nadu,19,Tiruppur
Tamil Nadu,20,Nilgiris
Tamil Nadu,21,Coimbatore
Tamil Nadu,22,Pollachi
Tamil Nadu,23,Dindigul
Tamil Nadu,24,Karur
Tamil Nadu,25,Tiruchirappalli
Tamil Nadu,26,Perambalur
Tamil Nadu,27,Cuddalore
Tamil Nadu,28,Chidambaram
Tamil Nadu,29,Mayiladuthurai
Tamil Nadu,30,Nagapattinam
Tamil Nadu,31,Thanjavur
Tamil Nadu,32,Sivaganga
Tamil Nadu,33,Madurai
Tamil Nadu,34,Theni
Tamil Nadu,35,Virudhunagar
Tamil Nadu,36,Ramanathapuram
Tamil Nadu,37,Thoothukudi
Tamil Nadu,38,Tenkasi
Tamil Nadu,39,Tirunelveli
Telangana,1,Adilabad
Telangana,2,Peddapalle
Telangana,3,Karimnagar
Telangana,4,Nizamabad
Telangana,5,Zahirabad
Telangana,6,Medak
Telangana,7,Malkajgiri
Telangana,8,Secunderabad
Telangana,9,Hyderabad
Telangana,10,Chelvella
Telangana,11,Mahabubnagar
Telangana,12,Nagarkurnool
Telangana,13,Nalgonda
Telangana,14,Bhongir
Telangana,15,Warangal
Telangana,16,Mahabubabad
Telangana,17,Khammam
Tripura,1,Tripura West
Tripura,2,Tripura East
Uttar Pradesh,1,Saharanpur
Uttar Pradesh,2,Kairana
Uttar Pradesh,3,Muzaffarnagar
Uttar Pradesh,4,Bijnor
Uttar Pradesh,5,Nagina
Uttar Pradesh,6,Moradabad
Uttar Pradesh,7,Rampur
Uttar Pradesh,8,Sambhal
Uttar Pradesh,9,Amroha
Uttar Pradesh,10,Meerut
Uttar Pradesh,11,Baghpat
Uttar Pradesh,12,Ghaziabad
Uttar Pradesh,13,Gautam Buddha Nagar
Uttar Pradesh,14,Bulandshahr
Uttar Pradesh,15,Aligarh
Uttar Pradesh,16,Hathras
Uttar Pradesh,17,Mathura
Uttar Pradesh,18,Agra
Uttar Pradesh,19,Fatehpur Sikri
Uttar Pradesh,20,Firozabad
Uttar Pradesh,21,Mainpuri
Uttar Pradesh,22,Etah
Uttar Pradesh,23,Badaun
Uttar Pradesh,24,Aonla
Uttar Pradesh,25,Bareilly
Uttar Pradesh,26,Pilibhit
Uttar Pradesh,27,Shahjahanpur
Uttar Pradesh,28,Kheri
Uttar Pradesh,29,Dhaurahra
Uttar Pradesh,30,Sitapur
Uttar Pradesh,31,Hardoi
Uttar Pradesh,32,Misrikh
Uttar Pradesh,33,Unnao
Uttar Pradesh,34,Mohanlalganj
Uttar Pradesh,35,Lucknow
Uttar Pradesh,36,Rae Bareli
Uttar Pradesh,37,Amethi
Uttar Pradesh,38,Sultanpur
Uttar Pradesh,39,Pratapgarh
Uttar Pradesh,40,Farrukhabad
Uttar Pradesh,41,Etawah
Uttar Pradesh,42,Kannauj
Uttar Pradesh,43,Kanpur
Uttar Pradesh,44,Akbarpur
Uttar Pradesh,45,Jalaun
Uttar Pradesh,46,Jhansi
Uttar Pradesh,47,Hamirpur
Uttar Pradesh,48,Banda
Uttar Pradesh,49,Fatehpur
Uttar Pradesh,50,Kaushambi
Uttar Pradesh,51,Allahabad
Uttar Pradesh,52,Phulpur
Uttar Pradesh,53,Faizabad
Uttar Pradesh,54,Ambedkar Nagar
Uttar Pradesh,55,Bahraich
Uttar Pradesh,56,Kaiserganj
Uttar Pradesh,57,Shrawasti
Uttar Pradesh,58,Gonda
Uttar Pradesh,59,Domariyaganj
Uttar Pradesh,60,Basti
Uttar Pradesh,61,Sant Kabir Nagar
Uttar Pradesh,62,Maharajganj
Uttar Pradesh,63,Gorakhpur
Uttar Pradesh,64,Kushi Nagar
Uttar Pradesh,65,Deoria
Uttar Pradesh,66,Bansgaon
Uttar Pradesh,67,Lalganj
Uttar Pradesh,68,Azamgarh
Uttar Pradesh,69,Ghosi
Uttar Pradesh,70,Salempur
Uttar Pradesh,71,Ballia
Uttar Pradesh,72,Jaunpur
Uttar Pradesh,73,Machhlishahr
Uttar Pradesh,74,Ghazipur
Uttar Pradesh,75,Chandauli
Uttar Pradesh,76,Varanasi
Uttar Pradesh,77,Bhadohi
Uttar Pradesh,78,Mirzapur
Uttar Pradesh,79,Robertsganj
Uttarakhand,1,Tehri Garhwal
Uttarakhand,2,Garhwal
Uttarakhand,3,Almora
Uttarakhand,4,Nainital-Udhamsingh Nagar
Uttarakhand,5,Hardwar
West Bengal,1,Cooch Behar
West Bengal,2,Alipurduars
West Bengal,3,Jalpaiguri
West Bengal,4,Darjeeling
West Bengal,5,Raiganj
West Bengal,6,Balurghat
West Bengal,7,Maldaha Uttar
West Bengal,8,Maldaha Dakshin
West Bengal,9,Jangipur
West Bengal,10,Baharampur
West Bengal,11,Murshidabad
West Bengal,12,Krishnanagar
West Bengal,13,Ranaghat
West Bengal,14,Bangaon
West Bengal,15,Barrackpur
West Bengal,16,Dum Dum
West Bengal,17,Barasat
West Bengal,18,Basirhat
West Bengal,19,Jaynagar
West Bengal,20,Mathurapur
West Bengal,21,Diamond Harbour
West Bengal,22,Jadavpur
West Bengal,23,Kolkata Dakshin
West Bengal,24,Kolkata Uttar
West Bengal,25,Howrah
West Bengal,26,Uluberia
West Bengal,27,Sreerampur
West Bengal,28,Hooghly
West Bengal,29,Arambagh
West Bengal,30,Tamluk
West Bengal,31,Kanthi
West Bengal,32,Ghatal
West Bengal,33,Jhargram
West Bengal,34,Medinipur
West Bengal,35,Purulia
West Bengal,36,Bankura
West Bengal,37,Bishnupur
West Bengal,38,Bardhaman Purba
West Bengal,39,Bardhaman-Durgapur
West Bengal,40,Asansol
West Bengal,41,Bolpur
West Bengal,42,Birbhum
Andaman and Nicobar Islands,1,Andaman and Nicobar Islands
Chandigarh,1,Chandigarh
Dadra and Nagar Haveli and Daman and Diu,1,Dadra and Nagar Haveli
Dadra and Nagar Haveli and Daman and Diu,2,Daman and Diu
Delhi,1,Chandni Chowk
Delhi,2,North East Delhi
Delhi,3,East Delhi
Delhi,4,New Delhi
Delhi,5,North West Delhi
Delhi,6,West Delhi
Delhi,7,South Delhi
Jammu and Kashmir,1,Baramulla
Jammu and Kashmir,2,Srinagar
Jammu and Kashmir,3,Anantnag-Rajouri
Jammu and Kashmir,4,Udhampur
Jammu and Kashmir,5,Jammu
Ladakh,1,Ladakh
Lakshadweep,1,Lakshadweep
Puducherry,1,Puducherry
